Title,Description,Status,Labels,Priority
Finalize Linear and GitHub course workflow,"Objective: create the required 298B Linear project, statuses, labels, GitHub integration, branch protection, and contribution workflow documentation. Acceptance criteria: TA invited as Admin; statuses configured; labels configured; GitHub repo connected; default branch protected; workflow doc committed.",Backlog,"documentation,project-management",High
Expand macro ingestion and validation,"Objective: populate the expanded FRED macro feature set used by the macro agent. Acceptance criteria: 10Y-2Y spread, VIX, and WTI oil are ingested; silver macro contains the expanded columns; missing values are reported; macro agent no longer relies on null expanded fields.",Backlog,"data,backend,testing",High
Train baseline ML risk classifier,"Objective: add a supervised baseline model that predicts risk label or risk score from Gold features. Acceptance criteria: train/validation/test metrics are reported; model artifact is saved; inference script exists; comparison against rule baseline is documented.",Backlog,"ML/AI,evaluation",High
Wire FinBERT sentiment inference,"Objective: replace or augment VADER sentiment with FinBERT-based financial sentiment inference. Acceptance criteria: inference script reads news headlines; outputs sentiment label/confidence; sentiment agent consumes the output; fallback behavior remains available.",Backlog,"ML/AI,agents,data",High
Add hybrid critic scoring,"Objective: combine rule baseline, ML model output, and specialist agent evidence in the critic layer. Acceptance criteria: final verdict includes rule score, ML score, critic score, confidence, and explanation; no generated numeric claims lack source fields.",Backlog,"agents,ML/AI,backend",High
Improve LangGraph debate revision loop,"Objective: strengthen contradiction handling in the debate state machine. Acceptance criteria: label and score dispersion contradictions are detected; revision rounds are captured; high-severity contradictions trigger human review; debate verdict is preferred by the API when available.",Backlog,"agents,backend,testing",High
Build API-backed stock risk app,"Objective: expose project artifacts through FastAPI and drive the frontend from API calls. Acceptance criteria: companies, prices, verdicts, monitoring, and artifact endpoints work; frontend can generate critic and debate verdicts; API health endpoint reports data readiness.",Backlog,"backend,frontend",High
Improve investment Q&A frontend,"Objective: make the frontend answer whether a company is suitable for research or requires review. Acceptance criteria: answer uses final verdict, confidence, human-review flag, contradictions, drivers, and offsets; missing verdicts trigger generation; UI avoids broken JSON/PDF links.",Backlog,"frontend,agents",High
Add frontend loading and error states,"Objective: make the dashboard robust when API requests fail or verdict generation is running. Acceptance criteria: loading state appears during generation; API errors are shown clearly; user can retry; layout remains stable on mobile and desktop.",Backlog,"frontend,testing",Medium
Create evaluation and monitoring report,"Objective: document model quality, agent disagreements, confidence behavior, and pipeline health. Acceptance criteria: report includes dataset split, label balance, baseline metrics, example verdicts, monitoring records, and limitations.",Backlog,"evaluation,documentation,ML/AI",High
Add reproducibility guide,"Objective: document setup and exact commands for data pipeline, verdict generation, API server, frontend, and evaluation. Acceptance criteria: README or docs include virtual environment setup, env vars, commands, expected outputs, and troubleshooting.",Backlog,"documentation,testing",High
Add automated validation checks,"Objective: add repeatable checks for Python syntax, frontend JS syntax, and core API endpoint health. Acceptance criteria: scripts or Makefile commands exist; README lists them; checks pass locally.",Backlog,"testing,backend,frontend",Medium
Prepare final demo evidence package,"Objective: collect screenshots, PDFs, JSON verdicts, model metrics, and PR/Linear links for final review. Acceptance criteria: demo folder or document lists artifacts; evidence ties to Linear issues and PRs; app screenshots show at least three company verdict examples.",Backlog,"documentation,evaluation",Medium
